0,1,2,3,4
1,False,False,10.0,-0.008835526147571082
1,False,False,20.0,0.04525463933483789
1,False,False,30.0,-0.017846925248684208
1,False,False,40.0,-0.017431022610949344
1,False,False,50.0,-0.031203066245823665
1,False,False,60.0,-0.030200120966234312
1,False,False,70.0,-0.052066080040892485
1,False,False,80.0,-0.03323429154276426
1,False,False,90.0,-0.057546013880729205
1,False,False,100.0,-0.03753990039174326
1,False,False,110.0,-0.023521811138912115
1,False,False,120.0,-0.013123794147984341
1,False,False,130.0,-0.0010735066772703825
1,False,False,140.0,-0.015544607963125817
1,False,False,150.0,0.018908688873658576
1,False,False,160.0,0.035388485557290086
1,False,True,10.0,0.3196916249689118
1,False,True,20.0,0.4178328007659978
1,False,True,30.0,0.4290016867954069
1,False,True,40.0,0.4127367822685944
1,False,True,50.0,0.40990529626409183
1,False,True,60.0,0.3752919489073452
1,False,True,70.0,0.395760451394765
1,False,True,80.0,0.42370070938759785
1,False,True,90.0,0.4189760874534815
1,False,True,100.0,0.4376551487194153
1,False,True,110.0,0.4513866572672795
1,False,True,120.0,0.4500662712680903
1,False,True,130.0,0.41603182926515814
1,False,True,140.0,0.4383732069919483
1,False,True,150.0,0.5094370564180162
1,False,True,160.0,0.5356508224533965
1,False,True,170.0,0.33507462679172934
1,True,False,10.0,-0.41862188902410247
1,True,False,20.0,-0.4948077167089165
1,True,False,30.0,-0.5351522178004792
1,True,False,40.0,-0.5700677406238607
1,True,False,50.0,-0.5679713157973896
1,True,False,60.0,-0.5621544537954642
1,True,False,70.0,-0.5707150250005134
1,True,False,80.0,-0.5782646847182155
1,True,False,90.0,-0.5637719349074497
1,True,False,100.0,-0.5681247090084096
1,True,False,110.0,-0.5548045265972557
1,True,False,120.0,-0.5520319619994616
1,True,False,130.0,-0.5970304935069214
1,True,False,140.0,-0.6506916043643798
1,True,False,150.0,-0.6364645722116198
1,True,False,160.0,-0.5961487439296772
1,True,True,0.0,0.0005180204042715659
1,True,True,10.0,-0.03821888147574503
1,True,True,20.0,-0.05844827152511894
1,True,True,30.0,-0.08860702738944956
1,True,True,40.0,-0.06825097877741665
1,True,True,50.0,-0.08611295000717531
1,True,True,60.0,-0.09039793989249016
1,True,True,70.0,-0.09582318332314035
1,True,True,80.0,-0.10053397260798151
1,True,True,90.0,-0.10281714273461805
1,True,True,100.0,-0.10360180352777519
1,True,True,110.0,-0.11056909979545684
1,True,True,120.0,-0.12122710376480791
1,True,True,130.0,-0.10559700227729787
1,True,True,140.0,-0.12906445921009413
1,True,True,150.0,-0.09771024433010853
1,True,True,160.0,-0.08154426856687567
1,True,True,170.0,-0.4540577903150621
2,False,False,10.0,-0.00830012002475358
2,False,False,20.0,-0.009791426472291205
2,False,False,30.0,0.007031236966985462
2,False,False,40.0,-0.01901571663780861
2,False,False,50.0,-0.00913613959565821
2,False,False,60.0,0.0008513005908669558
2,False,False,70.0,0.014018449782505585
2,False,False,80.0,0.008004328998887474
2,False,False,90.0,-0.003390346000487358
2,False,False,100.0,-0.019166588912240712
